FIPS,State,County,PCT_SNAP12,PCT_SNAP17,PCH_SNAP_12_17,PC_SNAPBEN12,PC_SNAPBEN17,PCH_PC_SNAPBEN_12_17
1001,AL,Autauga,18.90847619,16.50005631,-2.408419881,18.47148705,16.3546772,-11.45987797
1003,AL,Baldwin,18.90847619,16.50005631,-2.408419881,15.89072227,11.47935963,-27.76061821
1005,AL,Barbour,18.90847619,16.50005631,-2.408419881,31.11622238,29.12214661,-6.408476353
1007,AL,Bibb,18.90847619,16.50005631,-2.408419881,22.43504906,17.55779076,-21.73945999
1009,AL,Blount,18.90847619,16.50005631,-2.408419881,20.27230453,12.3779726,-38.94146347
1011,AL,Bullock,18.90847619,16.50005631,-2.408419881,33.89244843,31.25101089,-7.793587208
1013,AL,Butler,18.90847619,16.50005631,-2.408419881,32.66789246,27.97814178,-14.35584068
1015,AL,Calhoun,18.90847619,16.50005631,-2.408419881,29.97523117,22.04634666,-26.45145416
1017,AL,Chambers,18.90847619,16.50005631,-2.408419881,28.58197403,23.49489403,-17.79821014
1019,AL,Cherokee,18.90847619,16.50005631,-2.408419881,27.42250252,16.68471527,-39.15684509
1021,AL,Chilton,18.90847619,16.50005631,-2.408419881,28.17595863,20.3894062,-27.63544846
1023,AL,Choctaw,18.90847619,16.50005631,-2.408419881,31.94208908,27.88721466,-12.6944561
1025,AL,Clarke,18.90847619,16.50005631,-2.408419881,33.35056305,26.93116951,-19.24823189
1027,AL,Clay,18.90847619,16.50005631,-2.408419881,19.7446785,12.44981384,-36.94598007
1029,AL,Cleburne,18.90847619,16.50005631,-2.408419881,23.72556877,17.98657799,-24.18905449
1031,AL,Coffee,18.90847619,16.50005631,-2.408419881,16.16516304,17.03165436,5.360238552
1033,AL,Colbert,18.90847619,16.50005631,-2.408419881,22.53263474,15.69724751,-30.33549881
1035,AL,Conecuh,18.90847619,16.50005631,-2.408419881,39.97648621,30.52236176,-23.64921379
1037,AL,Coosa,18.90847619,16.50005631,-2.408419881,23.28809357,18.88444519,-18.90944099
1039,AL,Covington,18.90847619,16.50005631,-2.408419881,27.79761696,22.78793335,-18.02198982
1041,AL,Crenshaw,18.90847619,16.50005631,-2.408419881,27.70791435,24.28928375,-12.33810139
1043,AL,Cullman,18.90847619,16.50005631,-2.408419881,18.97643471,12.89247417,-32.06060791
1045,AL,Dale,18.90847619,16.50005631,-2.408419881,27.47727966,23.32608795,-15.10772419
1047,AL,Dallas,18.90847619,16.50005631,-2.408419881,53.30840683,45.92630386,-13.84791565
1049,AL,DeKalb,18.90847619,16.50005631,-2.408419881,26.10274696,22.32942772,-14.45564079
1051,AL,Elmore,18.90847619,16.50005631,-2.408419881,20.39911079,14.03087807,-31.21818733
1053,AL,Escambia,18.90847619,16.50005631,-2.408419881,34.02098465,26.52415466,-22.03590012
1055,AL,Etowah,18.90847619,16.50005631,-2.408419881,21.87542915,14.73326492,-32.64925385
1057,AL,Fayette,18.90847619,16.50005631,-2.408419881,28.50566483,25.28641319,-11.29337502
1059,AL,Franklin,18.90847619,16.50005631,-2.408419881,27.32063484,20.32068634,-25.62147141
1061,AL,Geneva,18.90847619,16.50005631,-2.408419881,29.04659271,21.49489594,-25.99856377
1063,AL,Greene,18.90847619,16.50005631,-2.408419881,49.04729462,40.10604095,-18.22986031
1065,AL,Hale,18.90847619,16.50005631,-2.408419881,34.04948044,29.28931427,-13.98014355
1067,AL,Henry,18.90847619,16.50005631,-2.408419881,24.70808792,19.34254837,-21.71572113
1069,AL,Houston,18.90847619,16.50005631,-2.408419881,24.83585167,21.04776382,-15.25249863
1071,AL,Jackson,18.90847619,16.50005631,-2.408419881,22.54149818,15.74710846,-30.14169502
1073,AL,Jefferson,18.90847619,16.50005631,-2.408419881,24.61500359,20.02183533,-18.66003418
1075,AL,Lamar,18.90847619,16.50005631,-2.408419881,26.25482559,21.72068405,-17.26974487
1077,AL,Lauderdale,18.90847619,16.50005631,-2.408419881,18.50922394,13.49355602,-27.09820747
1079,AL,Lawrence,18.90847619,16.50005631,-2.408419881,24.56737137,20.68141174,-15.81756401
1081,AL,Lee,18.90847619,16.50005631,-2.408419881,15.91007137,12.26093864,-22.93599129
1083,AL,Limestone,18.90847619,16.50005631,-2.408419881,18.05386925,11.63552284,-35.55108643
1085,AL,Lowndes,18.90847619,16.50005631,-2.408419881,52.2081871,44.06510544,-15.59732723
1087,AL,Macon,18.90847619,16.50005631,-2.408419881,52.88873672,35.59050751,-32.70682907
1089,AL,Madison,18.90847619,16.50005631,-2.408419881,14.79572105,13.2136898,-10.69249153
1091,AL,Marengo,18.90847619,16.50005631,-2.408419881,32.4042244,27.28172112,-15.80813408
1093,AL,Marion,18.90847619,16.50005631,-2.408419881,25.83934784,19.45831871,-24.69500923
1095,AL,Marshall,18.90847619,16.50005631,-2.408419881,23.25748062,18.91806602,-18.6581459
1097,AL,Mobile,18.90847619,16.50005631,-2.408419881,31.45818901,25.63563728,-18.50885773
1099,AL,Monroe,18.90847619,16.50005631,-2.408419881,30.84370041,22.67079353,-26.49781609
1101,AL,Montgomery,18.90847619,16.50005631,-2.408419881,32.35105133,29.07139969,-10.13769722
1103,AL,Morgan,18.90847619,16.50005631,-2.408419881,19.23103523,16.18722153,-15.82761192
1105,AL,Perry,18.90847619,16.50005631,-2.408419881,58.87503433,44.20530319,-24.91672707
1107,AL,Pickens,18.90847619,16.50005631,-2.408419881,27.5375824,19.90401077,-27.72055817
1109,AL,Pike,18.90847619,16.50005631,-2.408419881,31.05893517,24.3133831,-21.71855545
1111,AL,Randolph,18.90847619,16.50005631,-2.408419881,33.73350525,25.23526001,-25.19229889
1113,AL,Russell,18.90847619,16.50005631,-2.408419881,36.66330338,28.01151085,-23.59796143
1115,AL,St. Clair,18.90847619,16.50005631,-2.408419881,19.74502373,14.137537,-28.39949417
1117,AL,Shelby,18.90847619,16.50005631,-2.408419881,9.558759689,7.27120924,-23.93145752
1119,AL,Sumter,18.90847619,16.50005631,-2.408419881,43.65877151,34.1819725,-21.70651817
1121,AL,Talladega,18.90847619,16.50005631,-2.408419881,27.77642441,19.40922928,-30.12336922
1123,AL,Tallapoosa,18.90847619,16.50005631,-2.408419881,27.90163994,21.4432621,-23.14694786
1125,AL,Tuscaloosa,18.90847619,16.50005631,-2.408419881,18.67852974,14.91018295,-20.17475128
1127,AL,Walker,18.90847619,16.50005631,-2.408419881,24.97452736,20.17312431,-19.22520065
1129,AL,Washington,18.90847619,16.50005631,-2.408419881,24.78607559,21.43951797,-13.5017643
1131,AL,Wilcox,18.90847619,16.50005631,-2.408419881,56.26805878,47.55574036,-15.48359489
1133,AL,Winston,18.90847619,16.50005631,-2.408419881,19.97712135,15.10904121,-24.3682766
2013,AK,Aleutians East,12.49241155,12.04557794,-0.446833611,11.47598839,8.506429672,-25.87627792
2016,AK,Aleutians West,12.49241155,12.04557794,-0.446833611,6.913927555,4.251257896,-38.5116806
2020,AK,Anchorage,12.49241155,12.04557794,-0.446833611,15.65752125,16.57573318,5.864350796
2050,AK,Bethel,12.49241155,12.04557794,-0.446833611,91.87622833,103.5950089,12.75496483
2060,AK,Bristol Bay,12.49241155,12.04557794,-0.446833611,17.00680351,19.89619446,16.9896183
2068,AK,Denali,12.49241155,12.04557794,-0.446833611,10.52034187,11.81292152,12.28647995
2070,AK,Dillingham,12.49241155,12.04557794,-0.446833611,60.9394989,68.44755554,12.32050896
2090,AK,Fairbanks North Star,12.49241155,12.04557794,-0.446833611,11.35065174,11.0102005,-2.999398232
2100,AK,Haines,12.49241155,12.04557794,-0.446833611,12.25109863,8.247558594,-32.67902756
2105,AK,Hoonah-Angoon,12.49241155,12.04557794,-0.446833611,32.48719025,36.67443848,12.88892078
2110,AK,Juneau,12.49241155,12.04557794,-0.446833611,15.60940456,15.73502827,0.804794967
2122,AK,Kenai Peninsula,12.49241155,12.04557794,-0.446833611,14.84800529,15.91119766,7.160506248
2130,AK,Ketchikan Gateway,12.49241155,12.04557794,-0.446833611,24.8114357,24.74258995,-0.277475864
2150,AK,Kodiak Island,12.49241155,12.04557794,-0.446833611,12.17328358,8.83650589,-27.4106617
2164,AK,Lake and Peninsula,12.49241155,12.04557794,-0.446833611,46.34689331,52.52057648,13.32059765
2170,AK,Matanuska-Susitna,12.49241155,12.04557794,-0.446833611,17.64498711,16.76022148,-5.014260769
2180,AK,Nome,12.49241155,12.04557794,-0.446833611,84.85295868,89.62470245,5.623544216
2185,AK,North Slope,12.49241155,12.04557794,-0.446833611,28.88980675,26.67314148,-7.672828197
2188,AK,Northwest Arctic,12.49241155,12.04557794,-0.446833611,80.24090576,87.6496582,9.233136177
2195,AK,Petersburg,12.49241155,12.04557794,-0.446833611,22.13581467,20.31900787,-8.207544327
2198,AK,Prince of Wales-Hyder,12.49241155,12.04557794,-0.446833611,32.19696808,27.93729591,-13.2300415
2220,AK,Sitka,12.49241155,12.04557794,-0.446833611,15.5176239,10.92377377,-29.60408211
2230,AK,Skagway,12.49241155,12.04557794,-0.446833611,29.52952957,2.304811239,-92.19489288
2240,AK,Southeast Fairbanks,12.49241155,12.04557794,-0.446833611,25.06274414,21.1599884,-15.57194138
2261,AK,Valdez-Cordova,12.49241155,12.04557794,-0.446833611,15.13439465,15.69124126,3.679345131
2270,AK,Wade Hampton,12.49241155,12.04557794,-0.446833611,,,
2275,AK,Wrangell,12.49241155,12.04557794,-0.446833611,17.46424675,14.34615898,-17.85412025
2282,AK,Yakutat,12.49241155,12.04557794,-0.446833611,22.21385574,12.39669418,-44.19386673
2290,AK,Yukon-Koyukuk,12.49241155,12.04557794,-0.446833611,86.35609436,74.77477264,-13.41112232
4001,AZ,Apache,17.17509312,13.09424618,-4.080846938,48.64871216,42.00997925,-13.64626694
4003,AZ,Cochise,17.17509312,13.09424618,-4.080846938,22.00122452,20.31699181,-7.655177116
4005,AZ,Coconino,17.17509312,13.09424618,-4.080846938,22.64917755,16.72633553,-26.15036201
4007,AZ,Gila,17.17509312,13.09424618,-4.080846938,32.86737442,27.3297081,-16.84852028
4009,AZ,Graham,17.17509312,13.09424618,-4.080846938,26.37421608,20.13158607,-23.66944313
4011,AZ,Greenlee,17.17509312,13.09424618,-4.080846938,15.84896278,11.01709843,-30.4869442
4012,AZ,La Paz,17.17509312,13.09424618,-4.080846938,26.34361458,20.35904312,-22.71735191
4013,AZ,Maricopa,17.17509312,13.09424618,-4.080846938,19.79427338,13.36654854,-32.47264862
4015,AZ,Mohave,17.17509312,13.09424618,-4.080846938,27.43626404,20.16007042,-26.52035141
4017,AZ,Navajo,17.17509312,13.09424618,-4.080846938,42.57249832,33.54182816,-21.21245003
4019,AZ,Pima,17.17509312,13.09424618,-4.080846938,22.29706764,16.7211113,-25.00757599
4021,AZ,Pinal,17.17509312,13.09424618,-4.080846938,18.91806984,14.18481731,-25.01974297
4023,AZ,Santa Cruz,17.17509312,13.09424618,-4.080846938,31.54339027,28.17269707,-10.68589401
4025,AZ,Yavapai,17.17509312,13.09424618,-4.080846938,18.15747452,10.05180359,-44.64096069
4027,AZ,Yuma,17.17509312,13.09424618,-4.080846938,25.12802696,22.05381584,-12.23419189
5001,AR,Arkansas,17.02574895,12.92696462,-4.098784331,24.84570313,18.29743385,-26.3557415
5003,AR,Ashley,17.02574895,12.92696462,-4.098784331,27.28335953,18.61575317,-31.76883888
5005,AR,Baxter,17.02574895,12.92696462,-4.098784331,17.15316391,11.6874218,-31.86433792
5007,AR,Benton,17.02574895,12.92696462,-4.098784331,10.93506622,5.626799583,-48.5435257
5009,AR,Boone,17.02574895,12.92696462,-4.098784331,19.92423439,13.38023758,-32.84440613
5011,AR,Bradley,17.02574895,12.92696462,-4.098784331,29.44266891,21.43163872,-27.2089138
5013,AR,Calhoun,17.02574895,12.92696462,-4.098784331,16.56245995,10.52982616,-36.42353821
5015,AR,Carroll,17.02574895,12.92696462,-4.098784331,15.19296932,10.14230824,-33.2434082
5017,AR,Chicot,17.02574895,12.92696462,-4.098784331,36.34134293,26.72527313,-26.46041489
5019,AR,Clark,17.02574895,12.92696462,-4.098784331,17.95266342,11.34885406,-36.78456497
5021,AR,Clay,17.02574895,12.92696462,-4.098784331,16.1084938,11.8911972,-26.18057632
5023,AR,Cleburne,17.02574895,12.92696462,-4.098784331,14.37227631,10.1804533,-29.1660347
5025,AR,Cleveland,17.02574895,12.92696462,-4.098784331,22.70438766,16.97756577,-25.22341537
5027,AR,Columbia,17.02574895,12.92696462,-4.098784331,26.24488831,17.37771797,-33.78627396
5029,AR,Conway,17.02574895,12.92696462,-4.098784331,23.93856239,15.76544285,-34.14206696
5031,AR,Craighead,17.02574895,12.92696462,-4.098784331,19.73881912,13.25211239,-32.86268997
5033,AR,Crawford,17.02574895,12.92696462,-4.098784331,20.7993412,12.95452595,-37.71665192
5035,AR,Crittenden,17.02574895,12.92696462,-4.098784331,37.75227737,29.33333397,-22.30049133
5037,AR,Cross,17.02574895,12.92696462,-4.098784331,21.17837715,16.5500412,-21.85406303
5039,AR,Dallas,17.02574895,12.92696462,-4.098784331,23.67769814,14.8676672,-37.20814133
5041,AR,Desha,17.02574895,12.92696462,-4.098784331,36.91564178,25.16151047,-31.84051704
5043,AR,Drew,17.02574895,12.92696462,-4.098784331,26.69187546,17.66682816,-33.81196213
5045,AR,Faulkner,17.02574895,12.92696462,-4.098784331,14.60396957,10.26857185,-29.68643379
5047,AR,Franklin,17.02574895,12.92696462,-4.098784331,21.2779789,13.00540352,-38.87857819
5049,AR,Fulton,17.02574895,12.92696462,-4.098784331,19.18652344,15.56062508,-18.8981514
5051,AR,Garland,17.02574895,12.92696462,-4.098784331,19.21318436,15.60441113,-18.78279686
5053,AR,Grant,17.02574895,12.92696462,-4.098784331,15.73452473,10.60647774,-32.59104919
5055,AR,Greene,17.02574895,12.92696462,-4.098784331,22.06767273,14.62166786,-33.74168777
5057,AR,Hempstead,17.02574895,12.92696462,-4.098784331,25.04213524,15.42320442,-38.41098404
5059,AR,Hot Spring,17.02574895,12.92696462,-4.098784331,19.46733475,14.08580017,-27.6439209
5061,AR,Howard,17.02574895,12.92696462,-4.098784331,22.96918678,17.00920105,-25.94774437
5063,AR,Independence,17.02574895,12.92696462,-4.098784331,19.04497528,12.4453392,-34.6529007
5065,AR,Izard,17.02574895,12.92696462,-4.098784331,18.13388443,11.48375511,-36.6723938
5067,AR,Jackson,17.02574895,12.92696462,-4.098784331,26.25996971,18.86489677,-28.16101074
5069,AR,Jefferson,17.02574895,12.92696462,-4.098784331,34.32903671,23.96247864,-30.19763756
5071,AR,Johnson,17.02574895,12.92696462,-4.098784331,21.61984634,16.61833382,-23.13389397
5073,AR,Lafayette,17.02574895,12.92696462,-4.098784331,26.2039032,17.47546959,-33.30966949
5075,AR,Lawrence,17.02574895,12.92696462,-4.098784331,21.19895935,14.56379223,-31.29949379
5077,AR,Lee,17.02574895,12.92696462,-4.098784331,37.56421661,26.89988327,-28.38960648
5079,AR,Lincoln,17.02574895,12.92696462,-4.098784331,22.91857719,13.71586323,-40.15394974
5081,AR,Little River,17.02574895,12.92696462,-4.098784331,21.98007774,15.09021759,-31.34593201
5083,AR,Logan,17.02574895,12.92696462,-4.098784331,26.53019333,15.11524391,-43.02625656
5085,AR,Lonoke,17.02574895,12.92696462,-4.098784331,15.15670872,9.9716959,-34.20935822
5087,AR,Madison,17.02574895,12.92696462,-4.098784331,18.2274971,13.10769749,-28.08833122
5089,AR,Marion,17.02574895,12.92696462,-4.098784331,21.0953331,13.79250908,-34.61819839
